Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
5,france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.5,0.5,0.011828456,1.36E+06,0.635865059,0,100,2388,47.7976081,39,0,0
1,france,20010126,20020419,34.76,1,14,200,0.01,1,4,0.5,0.5,0.00458033,466737.5788,-0.064042284,0,100,376,15.5992186,6,0,0
2,france,20010126,20020419,34.76,1,14,200,0.01,1,4,0.5,0.5,0.00453177,462534.3992,-0.05446011,0,100,384,23.5465731,6,0,0
3,france,20010126,20020419,34.76,1,14,200,0.01,1,4,0.5,0.5,0.004533197,462692.5596,-0.054820675,0,100,396,35.9912676,6,0,0
4,france,20010126,20020419,34.76,1,14,200,0.01,1,4,0.5,0.5,0.004537354,463017.3159,-0.055561037,0,100,392,31.8425129,6,0,0
5,france,20010126,20020419,34.76,1,14,200,0.01,1,4,0.5,0.5,0.004554804,464501.4656,-0.058944518,0,100,396,35.6348569,6,0,0
1,france,20010126,20020419,34.76,2,14,200,0.01,1,4,0.5,0.5,0.014256092,1.44E+06,-0.205489036,0,100,618,17.9654011,10,0,0
2,france,20010126,20020419,34.76,2,14,200,0.01,1,4,0.5,0.5,0.014246096,1.44E+06,-0.204927951,0,100,598,58.1028711,9,0,0
3,france,20010126,20020419,34.76,2,14,200,0.01,1,4,0.5,0.5,0.014315192,1.45E+06,-0.209803498,0,100,628,27.8529089,10,0,0
4,france,20010126,20020419,34.76,2,14,200,0.01,1,4,0.5,0.5,0.014171635,1.44E+06,-0.200043821,0,100,615,15.3083177,10,0,0
5,france,20010126,20020419,34.76,2,14,200,0.01,1,4,0.5,0.5,0.014355424,1.45E+06,-0.212183495,0,100,600,0.2755422,10,0,0
1,france,20010126,20020419,34.76,3,14,200,0.01,1,4,0.5,0.5,0.028868175,2.80E+06,-0.222056121,0,100,848,8.0384571,14,0,0
2,france,20010126,20020419,34.76,3,14,200,0.01,1,4,0.5,0.5,0.028941334,2.81E+06,-0.224347698,0,100,860,19.5431787,14,0,0
3,france,20010126,20020419,34.76,3,14,200,0.01,1,4,0.5,0.5,0.029016282,2.81E+06,-0.226468867,0,100,854,14.2447147,14,0,0
4,france,20010126,20020419,34.76,3,14,200,0.01,1,4,0.5,0.5,0.02917768,2.83E+06,-0.231774683,0,100,869,29.2864336,14,0,0
5,france,20010126,20020419,34.76,3,14,200,0.01,1,4,0.5,0.5,0.029059186,2.82E+06,-0.227851739,0,100,850,9.5462728,14,0,0
1,france,20010126,20020419,34.76,4,14,200,0.01,1,4,0.5,0.5,0.117727362,1.41E+07,-0.3265317,0,100,699,39.2675692,11,0,0
2,france,20010126,20020419,34.76,4,14,200,0.01,1,4,0.5,0.5,0.118267695,1.41E+07,-0.33061856,0,100,725,4.5827504,12,0,0
3,france,20010126,20020419,34.76,4,14,200,0.01,1,4,0.5,0.5,0.117569575,1.41E+07,-0.325297826,0,100,719,58.6386497,11,0,0
4,france,20010126,20020419,34.76,4,14,200,0.01,1,4,0.5,0.5,0.117188463,1.40E+07,-0.32244613,0,100,712,52.4635789,11,0,0
5,france,20010126,20020419,34.76,4,14,200,0.01,1,4,0.5,0.5,0.117356713,1.41E+07,-0.323688765,0,100,711,50.6392525,11,0,0
1,france,20010126,20020419,34.76,5,14,200,0.01,1,4,0.5,0.5,0.089991541,1.03E+07,-0.261846374,0,100,1500,0.3432228,25,0,0
2,france,20010126,20020419,34.76,5,14,200,0.01,1,4,0.5,0.5,0.089929319,1.03E+07,-0.261213869,0,100,1537,36.5218909,25,0,0
3,france,20010126,20020419,34.76,5,14,200,0.01,1,4,0.5,0.5,0.08994666,1.03E+07,-0.261382544,0,100,1518,18.1810202,25,0,0
4,france,20010126,20020419,34.76,5,14,200,0.01,1,4,0.5,0.5,0.089938683,1.03E+07,-0.261331297,0,100,1537,36.7087395,25,0,0
5,france,20010126,20020419,34.76,5,14,200,0.01,1,4,0.5,0.5,0.089827864,1.03E+07,-0.26032692,0,100,1522,22.2640369,25,0,0
1,france,20010126,20020419,34.76,6,14,200,0.01,1,4,0.5,0.5,0.049822276,4.78E+06,-0.262210029,0,100,3076,16.4803622,51,0,0
2,france,20010126,20020419,34.76,6,14,200,0.01,1,4,0.5,0.5,0.049899246,4.78E+06,-0.263579364,0,100,3058,58.4293552,50,0,0
3,france,20010126,20020419,34.76,6,14,200,0.01,1,4,0.5,0.5,0.049638621,4.77E+06,-0.258796262,0,100,3070,10.4580218,51,0,0
4,france,20010126,20020419,34.76,6,14,200,0.01,1,4,0.5,0.5,0.049786082,4.78E+06,-0.261522768,0,100,3074,13.6387447,51,0,0
5,france,20010126,20020419,34.76,6,14,200,0.01,1,4,0.5,0.5,0.049684891,4.77E+06,-0.259702642,0,100,3117,56.6964145,51,0,0
