Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
3,france,20210328,20210223,26.63,8,14,200,0.01,1,4,0.5,0.5,0.198179389,26414.31542,0.8158201,0,100,130,10.3548842,2,0,0
4,france,20210328,20210223,26.63,8,14,200,0.01,1,4,0.5,0.5,0.189955409,26375.25555,0.816092453,0,100,132,12.3577849,2,0,0
5,france,20210328,20210223,26.63,8,14,200,0.01,1,4,0.5,0.5,0.18571716,26349.62451,0.816271172,0,100,128,8.3261846,2,0,0
1,france,20210328,20210223,26.63,9,14,200,0.01,1,4,0.5,0.5,0.148422388,25524.23117,0.823435451,0,100,115,55.3141007,1,0,0
2,france,20210328,20210223,26.63,9,14,200,0.01,1,4,0.5,0.5,0.14535218,25510.94258,0.823527375,0,100,112,51.7530801,1,0,0
3,france,20210328,20210223,26.63,9,14,200,0.01,1,4,0.5,0.5,0.168634705,25556.65207,0.823211179,0,100,111,51.3770137,1,0,0
4,france,20210328,20210223,26.63,9,14,200,0.01,1,4,0.5,0.5,0.14459949,25478.25646,0.823753482,0,100,112,51.9930381,1,0,0
5,france,20210328,20210223,26.63,9,14,200,0.01,1,4,0.5,0.5,0.15014531,25500.42999,0.823600096,0,100,115,55.0917178,1,0,0
1,france,20210328,20210223,26.63,10,14,200,0.01,1,4,0.5,0.5,0.169002857,18578.91425,0.81713922,0,100,118,57.683418,1,0,0
2,france,20210328,20210223,26.63,10,14,200,0.01,1,4,0.5,0.5,0.169465605,18562.25793,0.817303158,0,100,116,55.9957991,1,0,0
3,france,20210328,20210223,26.63,10,14,200,0.01,1,4,0.5,0.5,0.159335125,18541.69196,0.817505576,0,100,115,55.4136369,1,0,0
4,france,20210328,20210223,26.63,10,14,200,0.01,1,4,0.5,0.5,0.147728321,18559.6553,0.817328774,0,100,114,54.1786387,1,0,0
